column_name,data_type,unit,source,category,description
date,string (YYYY-MM-DD),ISO Date,CWC / NASA POWER,Temporal,Observation date
station,string,Name,CWC NWDP Portal,Spatial,CWC Gauge Station Name
latitude,float,decimal degrees,CWC NWDP / Bhuvan,Spatial,Station latitude (WGS84)
longitude,float,decimal degrees,CWC NWDP / Bhuvan,Spatial,Station longitude (WGS84)
elevation,float,meters (m),USGS SRTM DEM 30m,Topographical,Gauge station elevation above mean sea level
district,string,Administrative,Census of India / LGD,Spatial,District jurisdiction in Kerala
river,string,Hydrological,CWC NWDP Portal,Hydrological,River name
basin,string,Hydrological,CWC NWDP Portal,Hydrological,River basin / catchment name
rainfall_1d,float,mm/day,NASA POWER / MERRA-2,Meteorological,Daily total precipitation
rainfall_3d,float,mm,Calculated,Meteorological,3-day cumulative antecedent rainfall
rainfall_7d,float,mm,Calculated,Meteorological,7-day cumulative antecedent rainfall
rainfall_14d,float,mm,Calculated,Meteorological,14-day cumulative antecedent rainfall
rainfall_30d,float,mm,Calculated,Meteorological,30-day cumulative antecedent rainfall
rainfall_api,float,mm,Calculated (Decay k=0.85),Hydrological,Antecedent Precipitation Index (decay model)
rainfall_anomaly_7d,float,mm,Calculated,Meteorological,7-day rainfall deviation from 30-day seasonal baseline
soil_moisture_top,float,volumetric fraction (0-1),NASA POWER / MERRA-2,Hydrological,Top layer (0-5cm) soil moisture wetness
soil_moisture_root,float,volumetric fraction (0-1),NASA POWER / MERRA-2,Hydrological,Root zone soil moisture wetness
soil_moisture_top_3d_mean,float,volumetric fraction (0-1),Calculated,Hydrological,3-day rolling mean surface soil moisture
soil_moisture_top_anomaly,float,fraction difference,Calculated,Hydrological,Surface soil moisture anomaly from station mean
river_discharge,float,m3/sec,CWC Manual Daily Discharge,Hydrological,Observed daily river water discharge
discharge_lag_1d,float,m3/sec,Calculated,Hydrological,1-day lagged river discharge
discharge_lag_3d,float,m3/sec,Calculated,Hydrological,3-day lagged river discharge
discharge_rolling_max_3d,float,m3/sec,Calculated,Hydrological,3-day rolling maximum river discharge
discharge_rise_rate_1d,float,ratio,Calculated,Hydrological,1-day relative rise rate of discharge
discharge_percentile,float,percentile (0-100),Calculated,Hydrological,Station-specific historical percentile rank
slope,float,degrees,USGS SRTM DEM 30m,GIS/Terrain,Local catchment terrain slope
aspect,float,degrees,USGS SRTM DEM 30m,GIS/Terrain,Local terrain slope compass orientation
drainage_density,float,km/km2,GIS Hydrology Analysis,GIS/Terrain,Catchment stream channel density
distance_to_stream,float,meters (m),GIS Analysis,GIS/Terrain,Proximity distance to primary river channel
land_cover,string,Category,ISRO Bhuvan LULC 250k,GIS/Terrain,Primary land-use and land-cover class
soil_type,string,Classification,NBSS & LUP Soil Map,GIS/Terrain,Soil taxonomy and texture classification
flood_label,integer (0 or 1),Binary Flag,Historical Disaster Matching,Target Label,"Flash flood target label (1 = Flood Event, 0 = Normal)"
label_confidence,string,Confidence level,Disaster Verification,Target Label,"Label confidence (high, medium, low)"
flood_event_id,string,Identifier,KSDMA / NDMA Records,Target Label,Documented flood event ID (or NONE)
data_quality_flag,integer,Quality code,Cleaning Pipeline,Metadata,"Data quality indicator (0=Observed, 1=Interpolated gap <=3d, 9=Missing)"
ground_rainfall_mm_boyce_estate,float,mm/day,KSDMA/IMD ground gauge (rainfall_kerala_cleaned_primary.csv),Rainfall (Ground Truth Proxy),"Actual observed daily rainfall at BOYCE ESTATE gauge (Idukki), spatially joined to VANDIPERIYAR only (19.8 km away, nearest match). Null for all other stations and for dates outside 2000-02-04 to 2020-12-31."
ground_rainfall_mm_vannapuram,float,mm/day,KSDMA/IMD ground gauge (rainfall_kerala_cleaned_primary.csv),Rainfall (Ground Truth Proxy),"Actual observed daily rainfall at Vannapuram gauge (Idukki), spatially joined to VANDIPERIYAR only (79.7 km away -- beyond the 50km reliable-proxy threshold, informational use only). Null for all other stations and for dates outside 2002-02-02 to 2020-12-31."
ground_rainfall_mm_nearest_available,float,mm/day,Derived (nearest of the two ground gauges above),Rainfall (Ground Truth Proxy),"Convenience column: value from whichever ground gauge is geographically closer and has data for that date/station (currently only ever BOYCE ESTATE or Vannapuram, and only for VANDIPERIYAR rows). Intended for cross-checking rainfall_1d (NASA POWER satellite estimate) against real gauge readings, not as a replacement predictor."
