variable_name,data_type,total_records,missing_count,missing_pct,unique_values,data_source,reliability_rating,limitations
date,str,45167,0,0.0,9100,CWC / NASA POWER,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
station,str,45167,0,0.0,5,CWC NWDP Portal,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
latitude,float64,45167,0,0.0,5,CWC NWDP / Bhuvan,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
longitude,float64,45167,0,0.0,5,CWC NWDP / Bhuvan,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
elevation,float64,45167,0,0.0,5,USGS SRTM DEM 30m,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
district,str,45167,0,0.0,5,Census of India / LGD,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
river,str,45167,0,0.0,5,CWC NWDP Portal,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
basin,str,45167,0,0.0,2,CWC NWDP Portal,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
rainfall_1d,float64,45167,0,0.0,4047,NASA POWER / MERRA-2,High (Observed / Authoritative Satellite),Spatial resolution constraints on soil moisture / reanalysis grid
rainfall_3d,float64,45167,0,0.0,26370,Calculated,High (Observed / Authoritative Satellite),Spatial resolution constraints on soil moisture / reanalysis grid
rainfall_7d,float64,45167,0,0.0,27785,Calculated,High (Observed / Authoritative Satellite),Spatial resolution constraints on soil moisture / reanalysis grid
rainfall_14d,float64,45167,0,0.0,27215,Calculated,High (Observed / Authoritative Satellite),Spatial resolution constraints on soil moisture / reanalysis grid
rainfall_30d,float64,45167,0,0.0,26885,Calculated,High (Observed / Authoritative Satellite),Spatial resolution constraints on soil moisture / reanalysis grid
rainfall_api,float64,45167,0,0.0,12123,Calculated (Decay k=0.85),High (Observed / Authoritative Satellite),Spatial resolution constraints on soil moisture / reanalysis grid
rainfall_anomaly_7d,float64,45167,0,0.0,34146,Calculated,High (Observed / Authoritative Satellite),Spatial resolution constraints on soil moisture / reanalysis grid
soil_moisture_top,float64,45167,0,0.0,87,NASA POWER / MERRA-2,High (Observed / Authoritative Satellite),Spatial resolution constraints on soil moisture / reanalysis grid
soil_moisture_root,float64,45167,0,0.0,55,NASA POWER / MERRA-2,High (Observed / Authoritative Satellite),Spatial resolution constraints on soil moisture / reanalysis grid
