date,station,latitude,longitude,elevation,district,river,basin,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,rainfall_30d,rainfall_api,rainfall_anomaly_7d,soil_moisture_top,soil_moisture_root,soil_moisture_top_3d_mean,soil_moisture_top_anomaly,river_discharge,discharge_lag_1d,discharge_lag_3d,discharge_rolling_max_3d,discharge_rise_rate_1d,discharge_percentile,slope,aspect,drainage_density,distance_to_stream,land_cover,soil_type,flood_label,label_confidence,flood_event_id,data_quality_flag,ground_rainfall_mm_boyce_estate,ground_rainfall_mm_vannapuram,ground_rainfall_mm_nearest_available
2001-01-01,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.05,0.05,0.05,0.05,0.05,0.05,-0.3,0.67,0.61,0.67,-0.1130209481808158,2.662606,0.0,0.0,2.662606,2.662606,25.846841811067637,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0,,,
2001-01-02,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.04,0.09,0.09,0.09,0.09,0.08,-0.225,0.67,0.61,0.67,-0.1130209481808158,2.399,2.662606,0.0,2.662606,-0.0990030068286482,23.10229178311906,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0,,,
2001-01-03,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.02,0.11,0.11,0.11,0.11,0.09,-0.1466666666666666,0.67,0.61,0.67,-0.1130209481808158,2.399,2.399,0.0,2.662606,0.0,23.10229178311906,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0,,,
2001-01-04,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.11,0.1699999999999999,0.22,0.22,0.22,0.19,-0.165,0.67,0.61,0.67,-0.1130209481808158,2.4843562,2.399,2.662606,2.4843562,0.035579908295123,23.912800447177197,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0,,,
2001-01-05,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.03,0.1599999999999999,0.25,0.25,0.25,0.19,-0.1,0.66,0.6,0.6666666666666666,-0.1230209481808158,2.248,2.4843562,2.399,2.4843562,-0.0951378067283588,21.06204583566238,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0,,,
2001-01-06,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.3,0.4399999999999999,0.55,0.55,0.55,0.46,-0.0916666666666666,0.66,0.6,0.6633333333333334,-0.1230209481808158,1.828,2.248,2.399,2.4843562,-0.1868327402135231,14.309670206819453,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0,,,
2001-01-07,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.06,0.39,0.61,0.61,0.61,0.45,0.0,0.66,0.6,0.66,-0.1230209481808158,1.763,1.828,2.4843562,2.248,-0.0355579868708972,13.11906092789268,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0,,,
2001-01-08,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.0,0.36,0.5599999999999999,0.61,0.61,0.38,0.0262499999999999,0.66,0.59,0.66,-0.1230209481808158,1.7875786,1.763,2.248,1.828,0.0139413499716393,13.616545556176634,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0,,,
2001-01-09,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.0,0.06,0.52,0.61,0.61,0.33,0.0455555555555556,0.66,0.59,0.66,-0.1230209481808158,1.699,1.7875786,1.828,1.7875786,-0.0495522826241038,11.83342649524874,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0,,,
2001-01-10,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.0,0.0,0.5,0.61,0.61,0.28,0.073,0.65,0.59,0.6566666666666666,-0.1330209481808159,2.3,1.699,1.763,2.3,0.3537374926427308,21.70486305198435,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0,,,
