candidate_station,district,nearest_target_station,distance_km,within_50km_threshold,window_first_date,window_last_date,n_days_covered,has_actual_rainfall_values
Vannapuram,IDUKKI,VANDIPERIYAR,79.7,False,2018-07-01,2018-08-31,59,False
F.C.S. Kanjirapally,KOTTAYAM,VANDIPERIYAR,34.6,True,2018-07-01,2018-08-31,59,False
Peechi,THRISSUR,VANDIPERIYAR,132.2,False,2018-07-02,2018-08-31,55,False
F.C.S. Kurudamannil,PATHANAMTHITTA,THUMPAMON,13.5,True,2018-07-01,2018-08-30,55,False
Mundakayam-rh,KOTTAYAM,VANDIPERIYAR,22.7,True,2018-07-01,2018-08-31,54,False
ERATTUPETTA-RH,THRISSUR,VANDIPERIYAR,36.7,True,2018-07-01,2018-08-29,54,False
Kottayam,KOTTAYAM,THUMPAMON,49.9,True,2018-07-01,2018-08-29,53,False
BOYCE ESTATE,IDUKKI,VANDIPERIYAR,19.8,True,2018-07-01,2018-08-30,53,False
Pampadi Veloor,KOTTAYAM,THUMPAMON,41.3,True,2018-07-01,2018-08-29,53,False
Pudukkad,THRISSUR,VANDIPERIYAR,123.6,False,2018-07-03,2018-08-29,53,False
AMALANAGAR,THRISSUR,KUTTYADI,128.5,False,2018-07-04,2018-08-29,52,False
Kozha,KOTTAYAM,THUMPAMON,59.9,False,2018-07-02,2018-08-29,52,False
Pathanamthitta,PATHANAMTHITTA,THUMPAMON,9.8,True,2018-07-01,2018-08-29,52,False
TRIPRAYAR,THRISSUR,VANDIPERIYAR,140.7,False,2018-07-01,2018-08-29,52,False
Vazhani,THRISSUR,KUTTYADI,127.9,False,2018-07-02,2018-08-29,51,False
Piravam,KOTTAYAM,VANDIPERIYAR,74.3,False,2018-07-02,2018-08-29,50,False
Moozhiyar,PATHANAMTHITTA,VANDIPERIYAR,29.3,True,2018-07-01,2018-08-29,49,False
Nilackal,PATHANAMTHITTA,VANDIPERIYAR,22.2,True,2018-07-02,2018-08-29,48,False
Vadasserikkara,PATHANAMTHITTA,THUMPAMON,18.5,True,2018-07-01,2018-08-31,46,False
VARANDARAPILLY,THRISSUR,VANDIPERIYAR,125.1,False,2018-07-04,2018-08-29,45,False
Ollukara,THRISSUR,KUTTYADI,136.1,False,2018-07-05,2018-08-25,43,False
Mupli,THRISSUR,VANDIPERIYAR,120.7,False,2018-07-06,2018-08-29,43,False
Karikkadavu,THRISSUR,VANDIPERIYAR,113.3,False,2018-07-03,2018-08-27,41,False
Pananchery,THRISSUR,KUTTYADI,135.9,False,2018-07-08,2018-08-28,36,False
